Comment,Sentiment
This news anchor guy sounds retards🙄,neutral
Ye log jo bbarat sarkar ka rashan khake yaha fokat key board per lad rahe he unko me kahna chahta hu koi kam dhande per dhyan do fokat me time pass mat karo,neutral
Hindi bolo,neutral
Hah,neutral
DIDI CHAPALARE MAR. NÀNDU KU,neutral
কয়লা চোর,neutral
Yen guru idu,neutral
Why were Indians there in Israel,neutral
I want see camera man face,neutral
Ami 😮😮😮,neutral
ସାର୍ ଖରାପ ଭାବିବେନି ଭଗବାନ ଚାହିଁଲେନି ଏତେ ଭଲ ବ୍ୟକ୍ତି ରାଜନୀତିରେ ସଫଳ ହେଲେ ଡାକ୍ତର ଭଗବାନ ... ବହୁତ୍ ମାଙ୍କ କୋଳ ଖାଲି ରହିଥାନ୍ତେ,neutral
E sim,neutral
Well said sir 🙏 justice delayed is injustice 🙏,neutral
Doop yedukkade annachi,neutral
Iga Hudugeere haage irrare...,neutral
ফিরহাদ এর পাশে বেগম।,neutral
"But as i an Indian rather than thinking who won the war, we all should think that middle east has always been the learning chapter for us . Right from thier courage, dealing with war, stringent law system etc. i support both the side salute 🫡",neutral
JAYJAGNNATH.,neutral
Bharat Mata ki Jai 🇮🇳🕉️🙏🏼,neutral
Mamata sabu dosa,neutral
"Holi Sale on Dhruv Rathee Academy! Link: https://academy.dhruvrathee.com/home
 Use Code: HOLI50 for a flat 50% discount on any course!",neutral
গলপঞপূ,neutral
शिव गोरख,neutral
"5 years to this today, anyone today?",neutral
Sabse bakwas phone hai nothing technical guruji ko bahut paisa deta hai karl pe,neutral
ಅವರ ಹೆಸರು ಸ್ನೇಹಲತಾ ರೆಡ್ಡಿ,neutral
But Muslims deths much more,neutral
👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏,neutral
ଓଡିଶା ରେ କଂଗ୍ରେସ zero zero zero,neutral
Navy video making,neutral
"ഭാരതാങ്കയല്ല, ഭാരതാമ്പ = ശരിക്ക് നോക്കി വായിക്ക്
  ആയിരങ്ങൾ പുറകോട്ട് പോവണം എന്ന് പറയുമ്പൊ ആരൊക്കെ പോവേണ്ടി വരും.???",neutral
ஸ்டாலின் ஏவல் நாய்களுக்கு பிரியாணி பொட்டலம் பார்சலாக கிடைத்திருக்கும் நடவடிக்கை எடுக்க வாய்ப்பு இல்லை,neutral
Keralathile kammikalum pappuvum pinkyum avarude partykkarum undu,neutral
ময়না তদন্তেও ঘাপলা করবে।এই তোলামূল সরকারকে এই রাজ্য থেকে তাড়াতে হবে তবে এখানের মানুষ শান্তিতে থাকতে পারবে।,neutral
Please next part ta tara tari koro,neutral
